feed date,dissection date,infection age,strain [/code],feed,mated,oocyst total,midguts total,"oocysts, avg. per mq","oocysts, median","oocysts, std. dev.",infectivity (%),gametocytemia (%),exflagellation (%)
06/23/2021,07/01/2021,8,NF54 / T4,13,FALSE,29,10,2.90,2,3.45,50.00,0.10,
06/23/2021,07/01/2021,8,NF54 / T7,13,FALSE,49,12,4.08,2,5.96,33.33,0.10,
06/23/2021,07/01/2021,8,NF54 / T9,13,FALSE,9,6,1.50,0,3.21,71.43,0.10,
06/26/2021,07/09/2021,13,NF54 / FARAH,14,FALSE,12,8,1.50,0,2.78,25.00,0.10,
06/26/2021,07/09/2021,13,NF54 / T7,14,FALSE,79,5,15.80,15,14.86,100.00,0.10,
06/26/2021,07/09/2021,13,NF54 / T9,14,FALSE,89,11,8.09,0,11.71,45.45,0.10,
07/05/2021,07/16/2021,11,NF135,15,FALSE,0,10,0.00,0,0.00,0.00,0.10,0.032163743
07/05/2021,07/16/2021,11,MIX,15,FALSE,1,10,0.10,0,0.32,10.00,0.10,
07/05/2021,07/16/2021,11,NF54,15,FALSE,2,8,0.25,0,0.46,25.00,0.10,0.129824561
07/15/2021,07/23/2021,8,NF54 / FARAH,16,FALSE,156,11,14.18,14,9.73,90.91,0.10,0.236947791
07/15/2021,07/23/2021,8,NF54 / T7,16,FALSE,93,8,11.63,14,8.63,75.00,0.10,0.407407407
07/15/2021,07/23/2021,8,NF54 / T9,16,FALSE,130,12,10.83,12,7.42,83.33,0.10,0.497005988
07/21/2021,08/02/2021,12,NF135,17,FALSE,0,12,0.00,0,0.00,0.00,0.10,0.027972028
07/21/2021,08/02/2021,12,NF54,17,FALSE,0,12,0.00,0,0.00,0.00,0.10,0.203125
07/21/2021,08/02/2021,12,APL5G / NICK,17,FALSE,1,11,0.09,0,0.30,9.09,0.10,0.222614841
08/04/2021,08/13/2021,9,MIX,18a,FALSE,0,5,0.00,0,0.00,0.00,0.10,
08/04/2021,08/13/2021,9,NF54 / T4,18a,FALSE,7,12,0.58,0,1.24,25.00,0.10,0.071216617
08/04/2021,08/13/2021,9,NF54 / T7,18a,FALSE,5,19,0.26,1,0.45,26.32,0.10,0.047120419
08/04/2021,08/13/2021,9,NF54 / T9,18a,FALSE,9,13,0.69,0,1.38,23.08,0.10,0.051546392
08/11/2021,08/20/2021,9,NF54 / T9,18b,FALSE,34,11,3.09,0,4.57,36.36,0.10,0.232673267
08/11/2021,08/20/2021,9,NF54 / T9,18b,FALSE,22,7,3.14,2,3.53,71.43,0.05,0.232673267
