feed 13,feed 14,feed 15,feed 16,feed 17,feed 18a,feed 18b,feed 19,feed 20
12,12,1,5,0,0,16,0,12
10,10,0,24,0,0,13,2,10
16,16,0,9,0,5,7,5,25
12,12,0,0,0,0,7,2,4
6,6,0,11,0,3,8,0,13
5,5,0,0,0,0,25,0,0
20,20,0,33,0,1,12,0,2
4,4,0,21,0,0,13,1,7
5,5,0,12,0,2,2,2,7
6,6,0,22,0,1,25,0,14
0,0,0,30,,0,9,1,4
6,6,0,0,,5,23,0,5
1,1,0,12,,0,10,10,10
7,28,0,7,,0,3,36,4
0,30,0,,,0,,17,38
10,23,1,,,0,,32,30
15,29,0,,,1,,6,45
0,27,0,,,0,,,50
16,30,1,,,0,,,30
7,27,0,,,0,,,
10,17,0,,,2,,,
12,10,2,,,1,,,
10,27,4,,,0,,,
3,45,0,,,3,,,
3,20,5,,,0,,,
3,40,0,,,0,,,
3,3,0,,,2,,,
,30,,,,1,,,
,35,,,,0,,,
,38,,,,,,,
