feed 13,feed 14,feed 15,feed 16,feed 17,feed 18a,feed 18b,feed 19,feed 20
0,6,1,0,0,0,12,1,8
0,0,1,16,0,0,0,0,0
5,0,0,0,0,4,0,0,26
0,0,0,23,0,0,5,0,0
0,0,0,20,0,2,0,2,3
0,0,0,15,0,0,0,0,9
5,6,0,7,0,0,0,0,5
10,0,0,12,0,0,8,0,7
4,0,0,15,0,0,0,0,0
5,0,0,12,0,0,0,0,3
0,10,0,11,0,0,9,0,0
5,0,0,20,0,1,,0,0
0,0,0,0,0,0,,0,10
3,2,0,0,0,0,,1,4
2,0,0,5,0,1,,0,0
2,0,0,19,0,1,,0,0
0,23,0,23,0,1,,0,12
20,27,0,8,0,0,,0,7
0,27,0,9,0,1,,1,13
10,2,0,8,0,1,,1,22
0,15,0,32,0,0,,0,0
7,37,0,11,0,0,,1,35
0,2,0,2,0,0,,24,40
0,23,0,8,0,0,,22,0
0,,1,15,0,0,,33,20
0,,0,22,0,0,,6,32
1,,0,9,0,0,,30,0
8,,0,12,0,0,,18,26
,,,23,0,0,,16,24
,,,22,0,0,,25,31
,,,0,0,0,,19,
,,,,1,0,,11,
,,,,0,0,,9,
,,,,0,0,,26,
,,,,0,0,,8,
,,,,,0,,26,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,3,,,
,,,,,4,,,
,,,,,2,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
